time,ppg,beat
20218223514,0.0,0.0
20218223514,1.2512,0.0
20218223514,2.5024,0.0
20218223514,2.8152,0.0
20218223514,2.5024,0.0
20218223514,0.9384,0.0
20218223514,0.0,0.0
20218223514,0.6256,0.0
20218223514,2.1896,0.0
20218223514,2.8152,0.0
20218223514,3.4409,0.0
20218223514,1.2512,0.0
20218223514,0.0,0.0
20218223514,0.6256,0.0
20218223514,2.1896,0.3128
20218223514,2.8152,0.0
20218223514,2.5024,0.0
20218223514,1.564,0.0
20218223514,0.3128,0.0
20218223514,0.0,0.0
20218223514,1.8768,0.0
20218223514,2.8152,0.0
20218223514,2.8152,0.0
20218223515,1.564,0.0
20218223515,0.3128,0.0
20218223515,0.3128,0.0
20218223515,2.1896,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,2.1896,0.0
20218223515,0.6256,0.0
20218223515,0.0,0.0
20218223515,1.2512,0.0
20218223515,2.5024,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,1.2512,0.0
20218223515,0.0,0.0
20218223515,5.6305,305.6109
20218223515,3.1281,305.6109
20218223515,3.1281,305.9238
20218223515,2.8152,305.6109
20218223515,1.564,305.6109
20218223515,0.3128,305.6109
20218223515,0.3128,305.6109
20218223515,2.1896,305.9238
20218223515,2.8152,305.6109
20218223515,0.0,0.0
20218223515,1.564,0.0
20218223515,0.3128,0.0
20218223515,0.0,0.0
20218223515,1.8768,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,1.564,0.3128
20218223515,0.3128,0.0
20218223515,0.0,0.0
20218223515,1.8768,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,1.8768,0.0
20218223515,0.6256,0.0
20218223515,0.0,0.0
20218223515,1.564,0.0
20218223515,2.5024,0.0
20218223515,3.1281,0.0
20218223515,2.1896,0.0
20218223515,0.6256,0.0
20218223515,0.0,0.0
20218223515,0.9384,0.0
20218223515,2.5024,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,1.564,0.0
20218223515,0.3128,0.0
20218223515,0.3128,0.0
20218223515,1.8768,0.0
20218223515,2.8152,0.0
20218223515,3.4409,0.0
20218223515,1.564,0.0
20218223515,0.0,0.0
20218223515,0.6256,0.0
20218223515,2.1896,0.0
20218223515,2.8152,0.0
20218223515,2.8152,0.0
20218223515,6.8817,305.6109
20218223515,0.9384,305.6109
20218223515,0.3128,305.9238
20218223515,1.8768,305.9238
20218223515,2.8152,305.6109
20218223515,2.8152,305.6109
20218223515,1.8768,305.9238
20218223515,0.0,0.0
20218223515,0.0,0.0
20218223515,1.2512,0.0
20218223516,2.5024,0.0
20218223516,2.8152,0.0
20218223516,2.5024,0.0
20218223516,0.9384,0.0
20218223516,0.0,0.0
20218223516,0.9384,0.0
20218223516,2.5024,0.0
20218223516,2.8152,0.0
